GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Trace-finder,com.tracefinder.analysis,UnknownPattern,0,15,0,0,0,6,0,3,0,3
Trace-finder,com.tracefinder.analysis,IpActivity,0,15,0,0,0,6,0,3,0,3
Trace-finder,com.tracefinder.analysis,TimeWindowFilter,0,33,0,6,0,9,0,5,0,2
Trace-finder,com.tracefinder.analysis,LogAnalyzer,0,157,0,10,0,28,0,8,0,3
Trace-finder,com.tracefinder.analysis,Findings,0,27,0,0,0,10,0,5,0,5
Trace-finder,com.tracefinder.analysis,TimeWindow,0,50,0,8,0,11,0,7,0,3
Trace-finder,com.tracefinder.report,ReportFormatter,0,263,0,20,0,52,0,17,0,7
Trace-finder,com.tracefinder.report,ReportWriter,10,0,0,0,3,0,2,0,2,0
Trace-finder,com.tracefinder.rulebook,NonPositiveSeverityScoreException,0,6,0,0,0,2,0,1,0,1
Trace-finder,com.tracefinder.rulebook,BlankRulebookLevelException,0,6,0,0,0,2,0,1,0,1
Trace-finder,com.tracefinder.rulebook,RulebookLoader,15,123,0,16,4,29,1,10,1,2
Trace-finder,com.tracefinder.rulebook,InvalidColumnCountException,0,7,0,0,0,2,0,1,0,1
Trace-finder,com.tracefinder.rulebook,NonNumericSeverityScoreException,0,6,0,0,0,2,0,1,0,1
Trace-finder,com.tracefinder.rulebook,RulebookIsEmptyException,0,4,0,0,0,2,0,1,0,1
Trace-finder,com.tracefinder.rulebook,DuplicateRulebookLevelException,0,6,0,0,0,2,0,1,0,1
Trace-finder,com.tracefinder.rulebook,InvalidRulebookHeaderException,0,6,0,0,0,2,0,1,0,1
Trace-finder,com.tracefinder.rulebook,RulebookNotFoundException,4,0,0,0,2,0,1,0,1,0
Trace-finder,com.tracefinder.rulebook,RulebookException,0,4,0,0,0,2,0,1,0,1
Trace-finder,com.tracefinder.rulebook,RulebookFormatException,0,4,0,0,0,2,0,1,0,1
Trace-finder,com.tracefinder.parser,Utf8LineReader,338,0,30,0,80,0,23,0,8,0
Trace-finder,com.tracefinder.parser,InvalidUtf8Exception,5,0,0,0,2,0,1,0,1,0
Trace-finder,com.tracefinder.parser,LogFileNotFoundException,5,0,0,0,2,0,1,0,1,0
Trace-finder,com.tracefinder.parser,LogFileNotARegularFileException,5,0,0,0,2,0,1,0,1,0
Trace-finder,com.tracefinder.parser,LogParser,184,0,16,0,39,0,12,0,4,0
Trace-finder,com.tracefinder.parser,LogFileTooLargeException,7,0,0,0,2,0,1,0,1,0
Trace-finder,com.tracefinder.parser,Utf8LineReader.Line,31,0,0,0,8,0,3,0,3,0
Trace-finder,com.tracefinder.parser,LogFileReader,49,0,6,0,12,0,5,0,2,0
Trace-finder,com.tracefinder.parser,LogFileException,4,0,0,0,2,0,1,0,1,0
Trace-finder,com.tracefinder.model,ParseResult,15,0,0,0,6,0,3,0,3,0
Trace-finder,com.tracefinder.model,MalformedLine,0,15,0,0,0,6,0,3,0,3
Trace-finder,com.tracefinder.model,LogEntry,6,39,0,0,2,14,2,6,2,6
Trace-finder,com.tracefinder,RulebookLoadFailedException,8,0,0,0,2,0,1,0,1,0
Trace-finder,com.tracefinder,LogFileReadException,8,0,0,0,2,0,1,0,1,0
Trace-finder,com.tracefinder,InvalidTimestampException,6,0,0,0,2,0,1,0,1,0
Trace-finder,com.tracefinder,Main,190,0,10,0,43,0,13,0,8,0
Trace-finder,com.tracefinder,TimestampFormats,0,4,0,0,0,2,0,1,0,1
Trace-finder,com.tracefinder,ReportWriteException,8,0,0,0,2,0,1,0,1,0
Trace-finder,com.tracefinder,FatalErrorException,4,0,0,0,2,0,1,0,1,0
Trace-finder,com.tracefinder,InvalidArgumentCountException,5,0,0,0,2,0,1,0,1,0
Trace-finder,com.tracefinder,InvalidTimeWindowException,6,0,0,0,2,0,1,0,1,0
